Player,Pos,Tm,PassingYds,PassingTD,Int,PassingAtt,Cmp,RushingAtt,RushingYds,RushingTD,Rec,Tgt,ReceivingYds,ReceivingTD,FL,PPRFantasyPoints,StandardFantasyPoints,HalfPPRFantasyPoints
Lamar Jackson,QB,SEA,241.0,4.0,0.0,30.0,18.0,3.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,27.94,27.94,27.94
Dak Prescott,QB,PHI,264.0,3.0,0.0,21.0,16.0,2.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,25.560000000000002,25.560000000000002,25.560000000000002
Robert Griffin,QB,ATL,329.0,2.0,1.0,32.0,22.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,25.46,25.46,25.46
Patrick Mahomes,QB,IND,309.0,3.0,1.0,44.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.36,22.36,22.36
Kirk Cousins,QB,HOU,371.0,2.0,1.0,50.0,35.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,21.34,21.34,21.34
Russell Wilson,QB,KAN,253.0,2.0,0.0,41.0,23.0,4.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,20.919999999999998,20.919999999999998,20.919999999999998
Marcus Mariota,QB,PIT,277.0,3.0,1.0,30.0,23.0,4.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,20.779999999999998,20.779999999999998,20.779999999999998
Nick Foles,QB,DAL,351.0,2.0,0.0,34.0,20.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,20.54,20.54,20.54
Tom Brady,QB,ARI,302.0,2.0,0.0,38.0,26.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.08,20.08,20.08
Gardner Minshew,QB,DEN,330.0,2.0,1.0,48.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2,19.2,19.2
Philip Rivers,QB,DET,282.0,1.0,1.0,37.0,23.0,3.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,17.68,17.68,17.68
Derek Carr,QB,MIA,241.0,2.0,0.0,26.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.64,17.64,17.64
Carson Wentz,QB,TAM,240.0,2.0,3.0,50.0,26.0,5.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,15.600000000000001,15.600000000000001,15.600000000000001
Jacoby Brissett,QB,NYG,173.0,2.0,0.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.92,14.92,14.92
Case Keenum,QB,CIN,271.0,1.0,1.0,31.0,18.0,5.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,14.64,14.64,14.64
Deshaun Watson,QB,NWE,215.0,2.0,0.0,33.0,19.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,14.5,14.5,14.5
Matthew Stafford,QB,NYG,90.0,0.0,0.0,14.0,9.0,4.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0,12.3,12.3,12.3
Andy Dalton,QB,NYJ,172.0,1.0,0.0,24.0,12.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,11.479999999999999,11.479999999999999,11.479999999999999
Drew Brees,QB,SFO,198.0,0.0,1.0,38.0,15.0,4.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,11.219999999999999,11.219999999999999,11.219999999999999
Joe Flacco,QB,MIN,232.0,1.0,1.0,24.0,18.0,0.0,0.0,0.0,1.0,1.0,-2.0,0.0,0.0,12.08,11.08,11.58
Marlon Mack,RB,NYG,0.0,0.0,0.0,0.0,0.0,11.0,110.0,2.0,1.0,1.0,55.0,0.0,0.0,29.5,28.5,29.0
Christian McCaffrey,RB,ATL,0.0,0.0,0.0,0.0,0.0,22.0,97.0,3.0,0.0,0.0,0.0,0.0,0.0,27.7,27.7,27.7
Saquon Barkley,RB,MIA,21.0,0.0,0.0,2.0,1.0,21.0,74.0,2.0,3.0,4.0,14.0,0.0,0.0,24.64,21.64,23.14
Dalvin Cook,RB,BAL,0.0,0.0,0.0,0.0,0.0,14.0,69.0,0.0,7.0,8.0,74.0,1.0,0.0,27.3,20.3,23.8
Mark Ingram,RB,WAS,0.0,0.0,0.0,0.0,0.0,19.0,57.0,1.0,2.0,3.0,17.0,1.0,0.0,21.4,19.4,20.4
Todd Gurley,RB,NYJ,0.0,0.0,0.0,0.0,0.0,13.0,42.0,2.0,0.0,0.0,0.0,0.0,0.0,16.2,16.2,16.2
Alvin Kamara,RB,PIT,0.0,0.0,0.0,0.0,0.0,15.0,77.0,1.0,2.0,2.0,16.0,0.0,0.0,17.299999999999997,15.299999999999999,16.299999999999997
Josh Jacobs,RB,DAL,0.0,0.0,0.0,0.0,0.0,8.0,92.0,1.0,0.0,0.0,0.0,0.0,0.0,15.2,15.2,15.2
Derrick Henry,RB,IND,0.0,0.0,0.0,0.0,0.0,14.0,27.0,1.0,10.0,10.0,53.0,0.0,0.0,24.0,14.0,19.0
