Player,Pos,Tm,PassingYds,PassingTD,Int,PassingAtt,Cmp,RushingAtt,RushingYds,RushingTD,Rec,Tgt,ReceivingYds,ReceivingTD,FL,PPRFantasyPoints,StandardFantasyPoints,HalfPPRFantasyPoints
Lamar Jackson,QB,CAR,306.0,2.0,0.0,28.0,18.0,14.0,52.0,2.0,0.0,0.0,0.0,0.0,0.0,37.440000000000005,37.440000000000005,37.440000000000005
Dak Prescott,QB,NWE,323.0,3.0,0.0,27.0,18.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,31.42,31.42,31.42
Robert Griffin,QB,WAS,304.0,4.0,1.0,27.0,19.0,7.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,29.06,29.06,29.06
Patrick Mahomes,QB,DET,441.0,2.0,0.0,61.0,31.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,26.34,26.34,26.34
Kirk Cousins,QB,DAL,441.0,3.0,2.0,62.0,37.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,26.34,26.34,26.34
Russell Wilson,QB,NYG,249.0,3.0,0.0,30.0,16.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,23.16,23.16,23.16
Marcus Mariota,QB,CIN,210.0,3.0,0.0,30.0,16.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,20.9,20.9,20.9
Nick Foles,QB,NOR,267.0,3.0,2.0,41.0,26.0,2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,18.48,18.48,18.48
Tom Brady,QB,SFO,231.0,1.0,1.0,25.0,16.0,6.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0,19.94,19.94,19.94
Gardner Minshew,QB,NOR,267.0,3.0,2.0,41.0,26.0,2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,18.48,18.48,18.48
Philip Rivers,QB,BAL,355.0,1.0,0.0,51.0,30.0,4.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,17.8,17.8,17.8
Derek Carr,QB,DEN,285.0,2.0,1.0,37.0,22.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,17.5,17.5
Carson Wentz,QB,JAX,261.0,2.0,1.0,26.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.439999999999998,16.439999999999998,16.439999999999998
Jacoby Brissett,QB,ATL,353.0,1.0,1.0,32.0,26.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0,15.419999999999998,15.419999999999998,15.419999999999998
Case Keenum,QB,NOR,267.0,3.0,2.0,41.0,26.0,2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,18.48,18.48,18.48
Deshaun Watson,QB,HOU,315.0,1.0,1.0,48.0,29.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5,14.5,14.5
Matthew Stafford,QB,STL,205.0,2.0,1.0,17.0,8.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.3,14.3,14.3
Andy Dalton,QB,IND,240.0,1.0,1.0,37.0,20.0,6.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,13.6,13.6,13.6
Drew Brees,QB,SDG,228.0,1.0,0.0,36.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.12,13.12,13.12
Joe Flacco,QB,TEN,261.0,1.0,2.0,40.0,23.0,5.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,12.54,12.54,12.54
Marlon Mack,RB,PHI,0.0,0.0,0.0,0.0,0.0,19.0,178.0,2.0,4.0,5.0,11.0,0.0,2.0,30.900000000000002,26.900000000000002,28.900000000000002
Christian McCaffrey,RB,HOU,0.0,0.0,0.0,0.0,0.0,20.0,102.0,2.0,5.0,5.0,15.0,0.0,0.0,28.7,23.7,26.2
Saquon Barkley,RB,NWE,0.0,0.0,0.0,0.0,0.0,10.0,42.0,0.0,2.0,2.0,91.0,1.0,0.0,21.299999999999997,19.299999999999997,20.299999999999997
Dalvin Cook,RB,TAM,0.0,0.0,0.0,0.0,0.0,21.0,50.0,2.0,2.0,2.0,13.0,0.0,0.0,20.3,18.3,19.3
Mark Ingram,RB,CHI,0.0,0.0,0.0,0.0,0.0,21.0,60.0,2.0,1.0,1.0,-1.0,0.0,0.0,18.9,17.9,18.4
Todd Gurley,RB,NYG,0.0,0.0,0.0,0.0,0.0,10.0,58.0,1.0,2.0,3.0,61.0,0.0,0.0,19.9,17.9,18.9
Alvin Kamara,RB,WAS,0.0,0.0,0.0,0.0,0.0,24.0,113.0,1.0,0.0,0.0,0.0,0.0,0.0,17.3,17.3,17.3
Josh Jacobs,RB,BAL,0.0,0.0,0.0,0.0,0.0,22.0,97.0,0.0,8.0,9.0,67.0,0.0,0.0,24.4,16.4,20.4
Derrick Henry,RB,ARI,0.0,0.0,0.0,0.0,0.0,17.0,48.0,2.0,0.0,0.0,0.0,0.0,0.0,16.8,16.8,16.8
Carlos Hyde,RB,BAL,0.0,0.0,0.0,0.0,0.0,22.0,97.0,0.0,8.0,9.0,67.0,0.0,0.0,24.4,16.4,20.4
David Johnson,RB,SFO,0.0,0.0,0.0,0.0,0.0,19.0,83.0,0.0,2.0,3.0,18.0,1.0,0.0,18.1,16.1,17.1
LeSean McCoy,RB,NWE,0.0,0.0,0.0,0.0,0.0,21.0,97.0,1.0,0.0,0.0,0.0,0.0,0.0,15.7,15.7,15.7
Nick Chubb,RB,HOU,0.0,0.0,0.0,0.0,0.0,5.0,87.0,1.0,0.0,0.0,0.0,0.0,0.0,14.7,14.7,14.7
