Player,Pos,Tm,PassingYds,PassingTD,Int,PassingAtt,Cmp,RushingAtt,RushingYds,RushingTD,Rec,Tgt,ReceivingYds,ReceivingTD,FL,PPRFantasyPoints,StandardFantasyPoints,HalfPPRFantasyPoints
Lamar Jackson,QB,TEN,61.0,1.0,0.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4399999999999995,6.4399999999999995,6.4399999999999995
Dak Prescott,QB,PHI,326.0,3.0,1.0,29.0,23.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23.14,23.14,23.14
Robert Griffin,QB,HOU,305.0,2.0,0.0,33.0,25.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,20.5,20.5,20.5
Patrick Mahomes,QB,KAN,201.0,3.0,0.0,29.0,20.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,20.84,20.84,20.84
Kirk Cousins,QB,BAL,285.0,2.0,0.0,35.0,27.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,19.9,19.9,19.9
Russell Wilson,QB,PIT,257.0,3.0,1.0,27.0,16.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,20.78,20.78,20.78
Marcus Mariota,QB,NOR,263.0,3.0,1.0,32.0,21.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,20.72,20.72,20.72
Nick Foles,QB,TEN,110.0,1.0,0.0,16.0,11.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3,8.3,8.3
Tom Brady,QB,IND,307.0,2.0,0.0,38.0,25.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,18.18,18.18,18.18
Gardner Minshew,QB,MIN,118.0,1.0,0.0,19.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.719999999999999,6.719999999999999,6.719999999999999
Philip Rivers,QB,NYG,177.0,2.0,0.0,30.0,20.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.98,14.98,14.98
Derek Carr,QB,DET,91.0,1.0,0.0,15.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.640000000000001,7.640000000000001,7.640000000000001
Carson Wentz,QB,DAL,220.0,3.0,2.0,32.0,24.0,3.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,19.900000000000002,19.900000000000002,19.900000000000002
Jacoby Brissett,QB,STL,198.0,1.0,0.0,31.0,18.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,12.72,12.72,12.72
Case Keenum,QB,SEA,242.0,1.0,0.0,40.0,25.0,3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,13.379999999999999,13.379999999999999,13.379999999999999
Deshaun Watson,QB,SFO,196.0,2.0,0.0,33.0,16.0,4.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,15.64,15.64,15.64
