Player,Pos,Tm,PassingYds,PassingTD,Int,PassingAtt,Cmp,RushingAtt,RushingYds,RushingTD,Rec,Tgt,ReceivingYds,ReceivingTD,FL,PPRFantasyPoints,StandardFantasyPoints,HalfPPRFantasyPoints
Lamar Jackson,QB,CHI,348.0,4.0,0.0,36.0,27.0,3.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,37.52,37.52,37.52
Dak Prescott,QB,IND,326.0,4.0,0.0,46.0,29.0,2.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,32.24,32.24,32.24
Robert Griffin,QB,DEN,397.0,4.0,0.0,59.0,39.0,3.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,31.78,31.78,31.78
Patrick Mahomes,QB,CLE,391.0,3.0,0.0,44.0,29.0,2.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,30.34,30.34,30.34
Kirk Cousins,QB,CIN,275.0,3.0,0.0,35.0,24.0,5.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,30.1,30.1,30.1
Russell Wilson,QB,NOR,313.0,4.0,0.0,42.0,30.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,28.82,28.82,28.82
Marcus Mariota,QB,PIT,349.0,3.0,0.0,39.0,23.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,24.76,24.76,24.76
Nick Foles,QB,MIA,200.0,3.0,1.0,33.0,20.0,3.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,23.6,23.6,23.6
Tom Brady,QB,NYJ,219.0,1.0,1.0,25.0,16.0,5.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,21.759999999999998,21.759999999999998,21.759999999999998
Gardner Minshew,QB,NWE,418.0,2.0,1.0,52.0,32.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,20.82,20.82,20.82
Philip Rivers,QB,SDG,249.0,3.0,0.0,28.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19.96,19.96,19.96
Derek Carr,QB,MIN,265.0,2.0,0.0,38.0,17.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,19.200000000000003,19.200000000000003,19.200000000000003
Carson Wentz,QB,BAL,245.0,3.0,3.0,50.0,28.0,1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,18.0
Jacoby Brissett,QB,OAK,245.0,2.0,1.0,31.0,18.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,17.8,17.8,17.8
Case Keenum,QB,PHI,179.0,1.0,1.0,22.0,11.0,6.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,17.46,17.46,17.46
Deshaun Watson,QB,DAL,104.0,3.0,0.0,20.0,11.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.06,16.06,16.06
Matthew Stafford,QB,JAX,117.0,2.0,0.0,27.0,12.0,4.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,15.98,15.98,15.98
Andy Dalton,QB,CAR,160.0,1.0,0.0,34.0,22.0,6.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,15.2,15.2,15.2
Drew Brees,QB,ARI,269.0,1.0,0.0,32.0,27.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.66,14.66,14.66
Joe Flacco,QB,KAN,137.0,2.0,0.0,20.0,14.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,14.18,14.18,14.18
Marlon Mack,RB,PHI,0.0,0.0,0.0,0.0,0.0,29.0,217.0,2.0,1.0,1.0,4.0,0.0,0.0,35.1,34.1,34.6
Christian McCaffrey,RB,KAN,0.0,0.0,0.0,0.0,0.0,19.0,150.0,1.0,2.0,3.0,8.0,1.0,0.0,29.8,27.8,28.8
Saquon Barkley,RB,CHI,0.0,0.0,0.0,0.0,0.0,20.0,102.0,0.0,7.0,9.0,73.0,1.0,0.0,30.5,23.5,27.0
Dalvin Cook,RB,NWE,0.0,0.0,0.0,0.0,0.0,3.0,9.0,1.0,12.0,17.0,153.0,0.0,0.0,34.2,22.200000000000003,28.200000000000003
Mark Ingram,RB,OAK,0.0,0.0,0.0,0.0,0.0,19.0,123.0,1.0,2.0,5.0,38.0,0.0,0.0,24.1,22.1,23.1
Todd Gurley,RB,SDG,0.0,0.0,0.0,0.0,0.0,29.0,103.0,1.0,3.0,4.0,32.0,0.0,0.0,22.5,19.5,21.0
Alvin Kamara,RB,TAM,0.0,0.0,0.0,0.0,0.0,22.0,127.0,1.0,3.0,4.0,-4.0,0.0,0.0,21.3,18.3,19.8
