Player,Pos,Tm,PassingYds,PassingTD,Int,PassingAtt,Cmp,RushingAtt,RushingYds,RushingTD,Rec,Tgt,ReceivingYds,ReceivingTD,FL,PPRFantasyPoints,StandardFantasyPoints,HalfPPRFantasyPoints
Lamar Jackson,QB,DAL,275.0,4.0,0.0,26.0,18.0,1.0,-2.0,0.0,0.0,0.0,0.0,0.0,1.0,24.8,24.8,24.8
Dak Prescott,QB,DEN,257.0,4.0,0.0,35.0,28.0,2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,26.080000000000002,26.080000000000002,26.080000000000002
Robert Griffin,QB,SEA,211.0,1.0,0.0,22.0,17.0,10.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,19.74,19.74,19.74
Patrick Mahomes,QB,BAL,243.0,1.0,0.0,24.0,18.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,13.92,13.92,13.92
Kirk Cousins,QB,NOR,420.0,3.0,1.0,45.0,35.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,28.3,28.3,28.3
Russell Wilson,QB,BUF,230.0,2.0,0.0,32.0,24.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,18.2,18.2,18.2
Marcus Mariota,QB,NYG,338.0,3.0,1.0,40.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.52,23.52,23.52
Nick Foles,QB,GNB,209.0,2.0,0.0,29.0,19.0,6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,19.759999999999998,19.759999999999998,19.759999999999998
Tom Brady,QB,MIA,228.0,3.0,1.0,36.0,26.0,4.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,26.619999999999997,26.619999999999997,26.619999999999997
Gardner Minshew,QB,IND,253.0,1.0,0.0,32.0,21.0,8.0,49.0,0.0,0.0,0.0,0.0,0.0,2.0,15.02,15.02,15.02
Philip Rivers,QB,SDG,291.0,1.0,1.0,35.0,29.0,3.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.540000000000001,13.540000000000001,13.540000000000001
Derek Carr,QB,NYJ,89.0,0.0,0.0,12.0,10.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.96,3.96,3.96
Carson Wentz,QB,NWE,349.0,2.0,1.0,53.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.96,19.96,19.96
Jacoby Brissett,QB,KAN,234.0,2.0,0.0,36.0,20.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,17.86,17.86,17.86
Case Keenum,QB,SFO,256.0,1.0,1.0,29.0,20.0,9.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,13.64,13.64,13.64
Deshaun Watson,QB,TEN,345.0,2.0,1.0,39.0,20.0,2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,19.6,19.6,19.6
Matthew Stafford,QB,CHI,130.0,1.0,0.0,27.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.199999999999999,7.199999999999999,7.199999999999999
Andy Dalton,QB,ATL,273.0,2.0,1.0,43.0,27.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,15.520000000000003,15.520000000000003,15.520000000000003
Drew Brees,QB,CIN,233.0,1.0,1.0,35.0,24.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,11.92,11.92,11.92
